Header Keywords,to int,to float,to bool w cond,to bool condition,regex strings,kws in dict,write predefined val
WPANG,WPPOS,GMIR,WPROMODE,SIMULATED;ACTIVE,ICSVRSN,WPSEL,WPROSTAT
WPPOS,,GFOC,WPSEMODE,SIMULATED;ACTIVE,,CALW,WPSESTAT
WPROMODE,,WPANG,ANMODE,SIMULATED;ACTIVE,,,ANSTAT
WPSEL,,WPSELPO,CALWMODE,SIMULATED;ACTIVE,,,CALWSTAT
WPSELPO,,CALWANG,GMIRMODE,SIMULATED;ACTIVE,,,GMIRSTAT
WPSEMODE,,ANALANG,GFOCMODE,SIMULATED;ACTIVE,,,GFOCSTAT
CALW,,,ASEL,OFF;ON,,,
CALWMODE,,,,,,,
CALWANG,,,,,,,
ASEL,,,,,,,
ANMODE,,,,,,,
ANALANG,,,,,,,
GMIR,,,,,,,
GMIRMODE,,,,,,,
GFOC,,,,,,,
GFOCMODE,,,,,,,
ICSVRSN,,,,,,,
WPROSTAT,,,,,,,
WPSESTAT,,,,,,,
ANSTAT,,,,,,,
CALWSTAT,,,,,,,
GMIRSTAT,,,,,,,
GFOCSTAT,,,,,,,
